#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp150	0	0	21	14	7	39	45	130	155	219	127	71	51	0	0	0	0	0	0	17	0	18	37	50	15	19
sp151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp153	0	0	0	0	0	0	0	0	45	0	47	24	0	0	0	0	0	0	0	0	0	0	41	0	0	53
sp154	34	0	0	0	0	0	0	0	36	0	54	0	0	58	0	60	0	0	0	0	33	0	33	54	47	78
sp155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp156	13	0	0	44	25	19	0	30	31	0	30	27	0	86	0	64	0	0	24	19	0	0	28	32	20	59
sp157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0
sp158	21	36	37	24	60	33	46	31	35	26	20	56	35	40	9	54	0	0	0	23	31	31	27	15	38	42
sp160	198	204	99	84	104	179	0	99	32	29	91	0	0	165	139	324	0	70	63	95	100	44	96	71	0	0
sp161	0	0	0	66	0	0	0	0	0	0	15	0	0	75	66	61	0	0	0	0	59	31	22	0	54	57
sp163	0	0	0	0	0	0	0	0	0	0	0	18	15	18	0	0	0	0	0	0	0	0	0	0	6	0
sp164	56	75	0	0	0	59	102	71	10	34	0	119	77	38	0	34	0	0	0	27	37	0	52	36	0	10
sp165	209	344	0	306	128	445	188	288	42	37	49	320	255	33	0	0	0	0	0	0	0	80	104	61	0	80
sp166	22	0	0	33	0	0	0	0	22	38	19	0	0	0	0	0	0	0	52	0	0	35	59	56	85	110
sp168	0	0	0	26	0	0	0	0	34	0	49	36	0	95	0	106	0	0	0	70	50	0	0	0	0	0
sp169	0	0	34	45	0	0	0	34	46	46	25	0	0	68	43	72	0	0	0	40	50	43	49	50	0	39
sp171	0	94	0	0	0	0	107	65	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0
sp172	0	0	0	0	0	22	0	0	0	0	0	0	0	338	0	289	0	0	0	0	0	0	0	0	0	0
sp173	42	30	41	54	67	29	0	0	0	0	0	0	19	18	0	0	0	0	0	31	38	0	0	0	0	0
sp174	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	88	0	0	0	0	83	0	0	0	0	36
sp175	25	25	0	0	14	28	9	13	0	0	29	49	28	27	0	21	0	0	0	46	0	0	0	0	32	28
sp176	51	55	0	0	0	53	96	103	7	27	0	75	122	28	0	25	0	191	0	12	33	0	34	24	0	14
sp177	26	24	35	43	62	17	0	14	31	30	28	22	24	20	7	30	0	0	24	10	17	28	40	41	53	7
sp179	0	0	0	26	0	0	0	0	17	0	39	0	0	0	0	0	0	0	0	0	48	79	0	63	42	0
sp181	0	0	0	16	0	0	0	0	0	17	17	22	0	25	0	24	0	0	0	0	0	0	16	20	0	0
sp182	0	0	0	0	0	18	44	28	0	51	55	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0
sp183	95	83	51	0	53	94	87	88	0	0	0	190	119	44	0	0	0	0	0	21	0	0	0	0	0	0
sp184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	15	0	0	0	0	0	17	0
sp185	51	43	17	19	24	56	0	21	13	20	26	28	0	33	16	34	0	0	27	0	20	19	12	0	36	62
sp186	0	0	0	0	0	0	31	34	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	416	187
sp187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0
sp188	0	0	0	0	0	0	0	0	59	77	102	0	0	0	0	0	0	45	0	0	0	0	0	146	0	0
sp189	0	0	0	0	13	0	23	0	30	0	36	38	0	0	30	54	0	127	0	0	0	21	0	0	0	0
